Personal-Nr,ABCStatus,Status,Beruf,Einstellungsberuf,Berufschl,Qualifiaktion,Profil
18359,A,1,,,1,155,
18359,A,1,,,1,156,
62275,T,1,,,1,123,
62275,T,1,,,1,173,
62275,T,1,,,1,157,
62275,T,1,,,1,705,
61802,A,2,158,Fachhelfer/in - Industrie,1,132,
61802,A,2,158,Fachhelfer/in - Industrie,1,172,
61802,A,2,158,Fachhelfer/in - Industrie,1,133,
61802,A,2,158,Fachhelfer/in - Industrie,1,114,
62495,A,1,,,1,160,
62495,A,1,,,1,182,
62495,A,1,,,1,113,
62495,A,1,,,1,183,
62495,A,1,,,1,155,
62495,A,1,,,1,156,
62495,A,1,,,1,168,
62495,A,1,,,1,178,
62089,I,1,,,1,731,
62423,I,1,,,1,736,
61410,I,1,,,1,702,
61460,I,1,,,1,720,
62466,C,1,,,1,113,
62466,C,1,,,1,156,
62466,C,1,,,1,166,
62466,C,1,,,1,177,
62466,C,1,,,1,178,
62439,B,1,,,1,114,
62439,B,1,,,1,172,
62439,B,1,,,1,177,
62344,A,2,23785,Lagerhelfer/in,1,113,
62344,A,2,23785,Lagerhelfer/in,1,166,
62344,A,2,23785,Lagerhelfer/in,1,178,
14172,A,2,10005,Produktionshelfer/in - Kunststoff und Ka,1,160,
14172,A,2,10005,Produktionshelfer/in - Kunststoff und Ka,1,113,
14172,A,2,10005,Produktionshelfer/in - Kunststoff und Ka,1,173,
14172,A,2,10005,Produktionshelfer/in - Kunststoff und Ka,1,155,
14172,A,2,10005,Produktionshelfer/in - Kunststoff und Ka,1,175,
14172,A,2,10005,Produktionshelfer/in - Kunststoff und Ka,1,157,
62397,T,1,,,1,123,
62397,T,1,,,1,174,
62397,T,1,,,1,705,
62397,T,1,,,1,175,
62397,T,1,,,1,178,
16012,A,1,,,1,172,
16012,A,1,,,1,113,
16012,A,1,,,1,155,
16012,A,1,,,1,157,
16012,A,1,,,1,177,
16012,A,1,,,1,178,
61638,T,2,24571,Auslieferungsfahrer/in (nicht Verkaufsfa,1,750,
15619,T,1,,,1,731,
61394,A,2,158,Fachhelfer/in - Industrie,1,160,
61394,A,2,158,Fachhelfer/in - Industrie,1,114,
61394,A,2,158,Fachhelfer/in - Industrie,1,175,
61394,A,2,158,Fachhelfer/in - Industrie,1,157,
61394,A,2,158,Fachhelfer/in - Industrie,1,168,
61382,T,1,,,1,730,
62406,I,1,,,1,716,
61755,T,2,10005,Produktionshelfer/in - Kunststoff und Ka,1,113,
61755,T,2,10005,Produktionshelfer/in - Kunststoff und Ka,1,714,
61986,I,1,,,1,760,
61986,I,1,,,1,752,
61445,I,1,,,1,715,
61445,I,1,,,1,716,
61445,I,1,,,1,718,
62098,I,1,,,1,731,
62022,B,1,,,1,113,
62022,B,1,,,1,174,
62022,B,1,,,1,175,
62022,B,1,,,1,156,
62022,B,1,,,1,178,
61958,I,1,,,1,704,
62526,I,1,,,1,753,
62103,I,1,,,1,751,
62107,T,1,,,1,714,
61634,I,1,,,1,702,
61634,I,1,,,1,703,
61634,I,1,,,1,704,
62136,I,1,,,1,714,
62136,I,1,,,1,715,
62136,I,1,,,1,716,
62496,I,1,,,1,752,
62496,I,1,,,1,715,
62324,T,1,,,1,705,
62324,T,1,,,1,155,
62324,T,1,,,1,168,
62324,T,1,,,1,178,
62389,I,1,,,1,705,
62172,T,2,10007,Produktionshelfer/in - Metall,1,714,
19730,I,1,,,1,753,
62471,A,1,,,1,155,
62471,A,1,,,1,156,
62471,A,1,,,1,166,
62471,A,1,,,1,177,
62471,A,1,,,1,118,
62330,A,1,,,1,113,
62330,A,1,,,1,166,
61764,I,2,10007,Produktionshelfer/in - Metall,1,713,
61861,T,1,,,1,731,
61550,I,1,,,1,702,
61956,B,1,,,1,113,
61824,I,1,,,1,751,
61824,I,1,,,1,713,
62499,I,1,10007,Produktionshelfer/in - Metall,1,715,
61980,B,1,,,1,160,
61980,B,1,,,1,123,
61980,B,1,,,1,173,
61980,B,1,,,1,175,
61980,B,1,,,1,157,
61980,B,1,,,1,177,
61369,T,1,,,1,711,
61369,T,1,,,1,132,
61369,T,1,,,1,133,
61369,T,1,,,1,134,
61369,T,1,,,1,177,
61369,T,1,,,1,118,
60447,T,2,158,Fachhelfer/in - Industrie,1,113,
60447,T,2,158,Fachhelfer/in - Industrie,1,714,
60447,T,2,158,Fachhelfer/in - Industrie,1,118,
61887,I,1,,,1,740,
62284,A,1,,,1,800,
62284,A,1,,,1,160,
62284,A,1,,,1,172,
62284,A,1,,,1,173,
62284,A,1,,,1,175,
62284,A,1,,,1,157,
62284,A,1,,,1,118,
62545,I,1,,,1,706,
61950,I,1,,,1,704,
60970,A,2,158,Fachhelfer/in - Industrie,1,169,
62193,,1,,,1,715,
62137,C,1,,,1,169,
61282,A,2,158,Fachhelfer/in - Industrie,1,113,
19296,T,2,10007,Produktionshelfer/in - Metall,1,712,
19296,T,2,10007,Produktionshelfer/in - Metall,1,132,
19296,T,2,10007,Produktionshelfer/in - Metall,1,133,
19296,T,2,10007,Produktionshelfer/in - Metall,1,134,
19296,T,2,10007,Produktionshelfer/in - Metall,1,105,
19296,T,2,10007,Produktionshelfer/in - Metall,1,177,
62362,A,2,10005,Produktionshelfer/in - Kunststoff und Ka,1,113,
62362,A,2,10005,Produktionshelfer/in - Kunststoff und Ka,1,156,
62362,A,2,10005,Produktionshelfer/in - Kunststoff und Ka,1,178,
62326,I,1,,,1,761,
62559,A,1,,,1,124,
62559,A,1,,,1,169,
62144,T,1,,,1,731,
62514,I,1,,,1,715,
62514,I,1,,,1,716,
61439,I,1,10007,Produktionshelfer/in - Metall,1,742,
61439,I,1,10007,Produktionshelfer/in - Metall,1,713,
18534,B,1,,,1,182,
18534,B,1,,,1,173,
18534,B,1,,,1,183,
18534,B,1,,,1,184,
18534,B,1,,,1,175,
18534,B,1,,,1,185,
18534,B,1,,,1,156,
18534,B,1,,,1,157,
18534,B,1,,,1,177,
18534,B,1,,,1,118,
18534,B,1,,,1,168,
61968,A,1,,,1,134,
61968,A,1,,,1,155,
61968,A,1,,,1,177,
61968,A,1,,,1,118,
62190,I,1,,,1,731,
62190,I,1,,,1,714,
62007,I,1,,,1,752,
61941,A,2,158,Fachhelfer/in - Industrie,1,800,
61941,A,2,158,Fachhelfer/in - Industrie,1,155,
61941,A,2,158,Fachhelfer/in - Industrie,1,177,
61941,A,2,158,Fachhelfer/in - Industrie,1,118,
61812,I,1,,,1,740,
61812,I,1,,,1,741,
62467,A,1,,,1,761,
62467,A,1,,,1,173,
62467,A,1,,,1,156,
62467,A,1,,,1,157,
62467,A,1,,,1,118,
62467,A,1,,,1,178,
61964,I,1,,,1,731,
62171,I,1,,,1,762,
62011,T,1,,,1,714,
62405,A,1,,,1,131,
62405,A,1,,,1,132,
62405,A,1,,,1,133,
62405,A,1,,,1,134,
62405,A,1,,,1,126,
62405,A,1,,,1,177,
62405,A,1,,,1,118,
61955,I,1,,,1,704,
62282,I,1,,,1,715,
61770,I,1,,,1,731,
61770,I,1,,,1,713,
62547,T,1,10007,Produktionshelfer/in - Metall,1,715,
61810,T,2,10007,Produktionshelfer/in - Metall,1,113,
61810,T,2,10007,Produktionshelfer/in - Metall,1,155,
61810,T,2,10007,Produktionshelfer/in - Metall,1,166,
