SCHLUESSEL,BERUFINT,BERUFVERZ,RO,BESCHARTA,BESCHARTB,ENTSENDEG,BLTAETIGKEIT,TRFIELD,REPL_ID,REPL_DATABASE,IENTGELTGRUPPE,SSICHTBARINMAND,CSELEKTIONSKENNZEICHEN,IWEBPORTAL,SWEBPORTALTEXT,AUSGTAETIGKEITSSCHLUESSEL,AKTIV,WARNUNGMINDESTLOHN,HOCHSCHULBERUF,VORRAUSSETZUNG,LFDNRAUSGTAETIGKEIT,SWEBPORTALTEXT2,CFREMDSCHLUESSEL,AUTO_UEBERNAHME_PERSONAL,PROSOFT_RECRUITING_SOURCE_ID,DKZ_ID
671,Techniker/in - Elektrotechnik,Techniker/in - Elektrotechnik,N,622,,,,J,30798,1604123803,,,,,,26303,0,,,,7284,,,1,,28907
676,Meister/in - Feinwerktechnik,Meister/in - Feinwerktechnik,N,629,,,,J,30799,1604123803,,,,,,24593,1,,,,5700,,,1,,30025
830,Chemikant/in,Chemikant/in,N,141,,,,J,30800,1604123803,,,,,,41312,0,,,,12613,,,1,,1141
840,Maschinenzusammensetzer/in,Maschinenzusammensetzer/in,N,285,,,,J,30801,1604123803,,,,,,25112,1,,,,5896,,,1,,2484
635,Technische/r Zeichner/in - Elektrotechnik,Technische/r Zeichner/in - Elektrotechnik,N,635,,,,J,30802,1604123803,,,,,,27212,1,,,,8037,,,1,,6467
310,Zentralheizungs- u. Lüftungsbauer/in,Zentralheizungs- und Lüftungsbauer/in,N,262,,,,J,30803,1604123803,,,,,,34212,0,,,,12064,,,1,,2213
672,Meister/in - Elektrotechnik,Meister/in - Elektrotechnik,N,311,,,,J,30804,1604123803,,,,,,26393,1,,,,7856,,,1,,30022
603,Dipl.-Ing. (FH) - Kunststofftechnik,Ingenieur/in - Kunststofftechnik,N,606,,,,J,30805,1604123803,,,,,,22104,1,,,,2129,,,1,,58726
513,Speditionskaufmann/-frau,Speditionskaufmann/-frau,N,701,,,,J,30806,1604123803,,,,,,51622,0,,,,14352,,,1,,6904
604,Dipl.-Ing. - Werkstoffwissenschaft,Ingenieur/in - Werkstofftechnik,N,607,,,,J,30807,1604123803,,,,,,41424,1,,,,12825,,,1,,58744
652,Techniker/in - Kunststofftechnik,Techniker/in - Kunststofftechnik,N,627,,,,J,30808,1604123803,,,,,,22103,1,,,,2125,,,1,,5990
131,Elektromechaniker/in,Elektromechaniker/in,N,314,,,,J,30809,1604123803,,,,,,26302,0,,,,7254,,,1,,2866
186,Laminierer/in (Kunststoffverarbeitung),Laminierer/in (Kunststoffverarbeitung),N,151,,,,J,30810,1604123803,,,,,,22102,1,,,,2078,,,1,,1223
850,Informatikkaufmann/-frau,Informatikfachmann/-frau,N,774,,,,J,30811,1604123803,,,,,,43102,0,,,,13144,,,1,,113543
860,Fachinformatiker/in - Systemintegration,Fachinformatiker/in - Systemintegration,N,774,,,,J,30812,1604123803,,,,,,43102,0,,,,13142,,,1,,7817
673,Meister/in - Kunststofftechnik,Meister/in - Kunststofftechnik,N,151,,,,J,30813,1604123803,,,,,,22193,1,,,,2209,,,1,,27456
870,Polsterer/Polsterin,Polsterer/Polsterin,N,492,,,,J,30814,1604123803,,,,,,28242,0,,,,9522,,,1,,4431
512,Technische/r Einkäufer/in,Technische/r Einkäufer/in,N,781,,,,J,30815,1604123803,,,,,,61113,0,,,,15576,,,1,,6602
